family,group_label,run_id,policy,perplexity,delta_ppl_vs_baseline,avg_downstream_score,delta_avg_score_vs_baseline,memory_mb,added_mb_vs_baseline,quality_recovered_fraction,avg_score_delta_per_mb,quality_recovered_per_mb
gptq_q17b,GPTQ / Qwen3-1.7B,DS_FP_Q17B,full_precision,15.034692030741335,0.8663434361505988,0.6856256026061087,0.011829838351943622,3281.736328125,1987.630576133728,1.0,5.9517289047518205e-06,0.0005031116003181871
gptq_q17b,GPTQ / Qwen3-1.7B,DS_R3_Q17B,baseline_4bit,15.901035466891933,0.0,0.6737957642541651,0.0,1294.105751991272,0.0,0.0,0.0,0.0
gptq_q17b,GPTQ / Qwen3-1.7B,DS_G2B03_Q17B,bits,15.891372850279888,0.009662616612045483,0.6769019609075682,0.0031061966534030594,1319.105751991272,25.0,0.26257304292688977,0.00012424786613612237,0.01050292171707559
gptq_q17b,GPTQ / Qwen3-1.7B,DS_G2R02_Q17B,rank,15.8822943408655,0.018741126026434074,0.6726367245983104,-0.0011590396558547322,1297.918251991272,3.8125,-0.09797595042068381,-0.00030401040153566747,-0.02569860994640887
gptq_q17b,GPTQ / Qwen3-1.7B,DS_H2R02M_Q17B,hybrid,15.89620325388434,0.004832213007594177,0.6727287423858133,-0.0010670218683518362,1304.918251991272,10.8125,-0.0901975019951584,-9.868410343138369e-05,-0.008341965502442395
gptq_q8b,GPTQ / Qwen3-8B,DS_FP_Q8B,full_precision,11.214767587429558,0.5822012391190032,0.7765498858812185,0.000994472341487862,15622.587890625,9801.38293170929,1.0,1.0146245161696108e-07,0.00010202641881941116
gptq_q8b,GPTQ / Qwen3-8B,DS_R3_Q8B,baseline_4bit,11.79696882654856,0.0,0.7755554135397307,0.0,5821.20495891571,0.0,0.0,0.0,0.0
gptq_q8b,GPTQ / Qwen3-8B,DS_G2B02_Q8B,bits,11.782303101845551,0.01466572470300953,0.7748943352177682,-0.0006610783219624938,5865.20495891571,44.0,-0.6647528487051065,-1.5024507317329405e-05,-0.015108019288752422
gptq_q8b,GPTQ / Qwen3-8B,DS_G2R02_Q8B,rank,11.796233276237755,0.0007355503108055217,0.7758166082923189,0.0002611947525882341,5826.32995891571,5.125,0.26264657315401274,5.096482977331397e-05,0.05124811183492931
gptq_q8b,GPTQ / Qwen3-8B,DS_H2R02_Q8B,hybrid,11.789468230287207,0.007500596261353465,0.7748180705392691,-0.0007373430004615766,5870.32995891571,49.125,-0.7414414355239022,-1.5009526726953213e-05,-0.015092955430512004
gptq_s3b,GPTQ / SmolLM3-3B,DS_FP_S3B,full_precision,10.824901275585061,0.7205763176296056,0.7403600256144549,0.020199533523160618,5865.28515625,3967.246500968933,1.0,5.091575105864287e-06,0.00025206399444949206
gptq_s3b,GPTQ / SmolLM3-3B,DS_R3_S3B,baseline_4bit,11.545477593214667,0.0,0.7201604920912943,0.0,1898.038655281067,0.0,0.0,0.0,0.0
gptq_s3b,GPTQ / SmolLM3-3B,DS_G3B02_S3B,bits,11.548343137492862,-0.002865544278195742,0.7222093193306867,0.00204882723939237,1905.038655281067,7.0,0.10142943336009229,0.00029268960562748144,0.014489919051441756
gptq_s3b,GPTQ / SmolLM3-3B,DS_G3R02_S3B,rank,11.64821293633937,-0.1027353431247029,0.7219545623677592,0.001794070276464943,1907.804280281067,9.765625,0.08881741127377406,0.00018371279631001017,0.009094902914434464
rtn_q17b,RTN / Qwen3-1.7B,DS_R2_Q17B,baseline_4bit,21.25404221880177,0.0,0.647160545210142,0.0,846.01171875,0.0,0.0,0.0,0.0
rtn_q17b,RTN / Qwen3-1.7B,DS_P2B03_Q17B,bits,21.096304954937338,0.15773726386443343,0.6476781425433266,0.0005175973331845718,860.01171875,14.0,0.01345629951507221,3.697123808461227e-05,0.0009611642510765864
rtn_q17b,RTN / Qwen3-1.7B,DS_P2R02_Q17B,rank,21.248177603560205,0.005864615241566895,0.6487581087984803,0.001597563588338291,850.26171875,4.25,0.04153285336071809,0.0003758973149031273,0.009772436084874844
