run_id,method,policy_type,device,dtype,batch_size,prompt_length,decode_length,decode_tokens_per_sec_mean,decode_tokens_per_sec_std,decode_ms_per_token_mean,decode_ms_per_token_std,end_to_end_tokens_per_sec_mean,first_token_latency_ms_mean,peak_vram_mb_mean,peak_vram_mb_max,memory_total_bytes,reconstruction,artifact_path
R3_Q17B,gptq,baseline_4bit,cuda,float16,1,512,128,15.689464174835917,0.8091260159167056,63.88741457480326,3.2426827623353613,15.68049686652668,68.33740099999659,1488.330078125,1488.330078125,887107584,gptq_baseline,results/modal_latency/qwen3_1p7b_gptq_baselines/R3_Q17B__bs1/latency_benchmark.json
R3_Q17B,gptq,baseline_4bit,cuda,float16,8,512,128,138.03131826291016,0.29891834299493386,7.244763251771636,0.01569419011678967,133.6081308751622,303.5548747000064,2030.61669921875,2030.61669921875,887107584,gptq_baseline,results/modal_latency/qwen3_1p7b_gptq_baselines/R3_Q17B__bs8/latency_benchmark.json
G2B03_Q17B,targeted_mixed_precision,bits,cuda,float16,1,512,128,18.4841857209706,0.33852934067906,54.11662010629916,0.9901519443729234,18.481392142834935,55.158813100007364,4825.3583984375,4825.3583984375,900739072,targeted_mixed_precision_gptq,results/modal_latency/qwen3_1p7b_gptq_transfer/G2B03_Q17B__bs1/latency_benchmark.json
G2B03_Q17B,targeted_mixed_precision,bits,cuda,float16,8,512,128,140.39324694504367,3.6513170652353213,7.127078508169282,0.18072665307683908,136.1684827996477,283.0135902000052,5366.26611328125,5366.26611328125,900739072,targeted_mixed_precision_gptq,results/modal_latency/qwen3_1p7b_gptq_transfer/G2B03_Q17B__bs8/latency_benchmark.json
G2R02_Q17B,targeted_svd_rank,rank,cuda,float16,1,512,128,19.977851141420743,0.25965597573813665,50.06305067559054,0.6511938685594613,19.96917316606534,52.837248200012255,1634.427734375,1634.427734375,891105280,targeted_svd_rank_gptq,results/modal_latency/qwen3_1p7b_gptq_transfer/G2R02_Q17B__bs1/latency_benchmark.json
G2R02_Q17B,targeted_svd_rank,rank,cuda,float16,8,512,128,118.7763260208318,7.7039747329278665,8.451376183070854,0.5528519256074552,115.85480566803349,283.67347820000646,2178.46826171875,2178.46826171875,891105280,targeted_svd_rank_gptq,results/modal_latency/qwen3_1p7b_gptq_transfer/G2R02_Q17B__bs8/latency_benchmark.json
R3_Q8B,gptq,baseline_4bit,cuda,float16,1,512,128,13.995972630667293,0.0719175980774678,71.45082428661418,0.36741510059206306,13.988622785829254,76.25545990000546,6178.06201171875,6178.06201171875,3902300160,gptq_baseline,results/modal_latency/qwen3_8b_gptq_baselines/R3_Q8B__bs1/latency_benchmark.json
R3_Q8B,gptq,baseline_4bit,cuda,float16,8,512,128,69.41341056064934,0.6233466821500493,14.407483553051165,0.129364349765493,68.27443561321932,361.2871382000094,6958.12841796875,6958.12841796875,3902300160,gptq_baseline,results/modal_latency/qwen3_8b_gptq_baselines/R3_Q8B__bs8/latency_benchmark.json
G2B02_Q8B,targeted_mixed_precision,bits,cuda,float16,1,512,128,13.776226044093823,0.062293032928439324,72.59014813543375,0.3262269313848542,13.768555663774197,77.76102319992333,6255.18701171875,6255.18701171875,3923271680,targeted_mixed_precision_gptq,results/modal_latency/qwen3_8b_gptq_transfer/G2B02_Q8B__bs1/latency_benchmark.json
G2B02_Q8B,targeted_mixed_precision,bits,cuda,float16,8,512,128,112.05111212358565,3.0460182112632164,8.930586918996022,0.24891933426520835,108.77501084572603,346.42242070003704,22663.13330078125,22663.13330078125,3923271680,targeted_mixed_precision_gptq,results/modal_latency/qwen3_8b_gptq_transfer/G2B02_Q8B__bs8/latency_benchmark.json
G2R02_Q8B,targeted_svd_rank,rank,cuda,float16,1,512,128,8.512661534431562,0.07210544501818371,117.47967391968466,0.9970308731930606,8.509365026311011,123.29959370001689,6444.69482421875,6444.69482421875,3907674112,targeted_svd_rank_gptq,results/modal_latency/qwen3_8b_gptq_transfer/G2R02_Q8B__bs1/latency_benchmark.json
G2R02_Q8B,targeted_svd_rank,rank,cuda,float16,8,512,128,115.58117842369144,0.3405032005622798,8.65199541190946,0.02553572841985082,112.07844296053054,346.09922619997633,7230.33935546875,7230.33935546875,3907674112,targeted_svd_rank_gptq,results/modal_latency/qwen3_8b_gptq_transfer/G2R02_Q8B__bs8/latency_benchmark.json
